vid,description,name,status,group
31,,PSDA-FTV-AAA-AUTH-VLAN31-31,active,TDF-PSDAFTV
32,,PSDA-FTV-AAA-DMZ-VLAN32-32,active,TDF-PSDAFTV
33,,PSDA-FTV-AAA-LOG-VLAN33-33,active,TDF-PSDAFTV
10,,PSDA-FTV-ADM-CJI-VLAN10-10,active,TDF-PSDAFTV
110,,PSDA-FTV-DMZ-1-VLAN110-110,active,TDF-PSDAFTV
121,,PSDA-FTV-DMZ-2-1-VLAN121-121,active,TDF-PSDAFTV
122,,PSDA-FTV-DMZ-2-2-VLAN122-122,active,TDF-PSDAFTV
123,,PSDA-FTV-DMZ-2-3-VLAN123-123,active,TDF-PSDAFTV
124,,PSDA-FTV-DMZ-2-4-VLAN124-124,active,TDF-PSDAFTV
130,,PSDA-FTV-DMZ-3-VLAN130-130,active,TDF-PSDAFTV
135,,PSDA-FTV-EXT-INTERCO-TDF-135,active,TDF-PSDAFTV
51,,PSDA-FTV-INT-CJI-VLAN51-51,active,TDF-PSDAFTV
40,,PSDA-FTV-LAN-FTV-VLAN40-40,active,TDF-PSDAFTV
134,,PSDA-FTV-PSDA-MNGT-134,active,TDF-PSDAFTV
140,,PSDA-FTV-WAN-FTV-VLAN140-140,active,TDF-PSDAFTV
141,,PSDA-FTV-WAN-RF-VLAN141-141,active,TDF-PSDAFTV
101,,PSDA-FTV-ZONE-1-VLAN101-101,active,TDF-PSDAFTV
102,,PSDA-FTV-ZONE-2-VLAN102-102,active,TDF-PSDAFTV
103,,PSDA-FTV-ZONE-3-VLAN103-103,active,TDF-PSDAFTV
105,,PSDA-FTV-ZONE-5-VLAN105-105,active,TDF-PSDAFTV
106,,PSDA-FTV-ZONE-6-VLAN106-106,active,TDF-PSDAFTV
107,,PSDA-FTV-ZONE-7-VLAN107-107,active,TDF-PSDAFTV
11,,PSDA-FTV-ZONE-I11-VLAN11-11,active,TDF-PSDAFTV
12,,PSDA-FTV-ZONE-I12-VLAN12-12,active,TDF-PSDAFTV
21,,PSDA-FTV-ZONE-I21-VLAN21-21,active,TDF-PSDAFTV
22,,PSDA-FTV-ZONE-I22-VLAN22-22,active,TDF-PSDAFTV
125,,PSDA-FTV-DMZ-2-5-VLAN125-125,active,TDF-PSDAFTV
150,,PSDA-FTV-COLLECTE-FTV-VLAN150-150,active,TDF-PSDAFTV
160,,PSDA-FTV-LIVRAISON-FTV-VLAN160-160,active,TDF-PSDAFTV
161,,PSDA-FTV-LIVRAISON-RF-VLAN161-161,active,TDF-PSDAFTV
162,,PSDA-FTV-LIVRAISON-FTV-TMS-VLAN162-162,active,TDF-PSDAFTV
163,,PSDA-FTV-LIVRAISON-RF-TMS-VLAN163-163,active,TDF-PSDAFTV
170,,PSDA-FTV-MCAST-LOCAL-VLAN170-170,active,TDF-PSDAFTV
171,,PSDA-FTV-MCAST-FTV-VLAN171-171,active,TDF-PSDAFTV
172,,PSDA-FTV-MCAST-LIVEWIRE-RF-VLAN172-172,active,TDF-PSDAFTV
173,,PSDA-FTV-MCAST-BRANE-VLAN173-173,active,TDF-PSDAFTV
174,,PSDA-FTV-STREAM-M-TS-VLAN174-174,active,TDF-PSDAFTV
250,,PSDA-FTV-INTERNAL-VMOTION-VLAN250-250,active,TDF-PSDAFTV
251,,PSDA-FTV-INTERNAL-VSAN-VLAN251-251,active,TDF-PSDAFTV
61,,PSDA-FTV-INTERCO-FTV-1-VLAN61-61,active,TDF-PSDAFTV
62,,PSDA-FTV-INTERCO-FTV-2-VLAN62-62,active,TDF-PSDAFTV
70,,PSDA-FTV-INTERCO-MCAST-ARISTA-VLAN70-70,active,TDF-PSDAFTV
71,,PSDA-FTV-INTERCO-MCAST-ARISTA-VLAN71-71,active,TDF-PSDAFTV
72,,PSDA-FTV-INTERCO-MCAST-ARISTA-VLAN72-72,active,TDF-PSDAFTV
7,,ADMIN_COMMUNITY_2-7,active,00_MLB
10,,INF_GLB_MAIN-10,active,00_MLB
11,,INF_GLB_DMZ-11,active,00_MLB
20,,INFRA_LAST_RESERVED-20,active,00_MLB
3850,,STORAGE_PROMISCUOUS-3850,active,00_MLB
3851,,STORAGE_ISOLATED-3851,active,00_MLB
3852,,STORAGE_COMMUNITY_1-3852,active,00_MLB
3853,,STORAGE_COMMUNITY_2-3853,active,00_MLB
4002,,DELL-4002,active,00_MLB
4003,,DELL-4003,active,00_MLB
4004,,DELL-4004,active,00_MLB
4005,,DELL-4005,active,00_MLB
4006,,DELL-4006,active,00_MLB
4007,,DELL-4007,active,00_MLB
4008,,DELL-4008,active,00_MLB
4009,,DELL-4009,active,00_MLB
4010,,DELL-4010,active,00_MLB
4011,,DELL-4011,active,00_MLB
4012,,DELL-4012,active,00_MLB
4013,,DELL-4013,active,00_MLB
4014,,DELL-4014,active,00_MLB
4015,,DELL-4015,active,00_MLB
4016,,DELL-4016,active,00_MLB
4017,,DELL-4017,active,00_MLB
4018,,DELL-4018,active,00_MLB
4019,,DELL-4019,active,00_MLB
4020,,DELL-4020,active,00_MLB
4094,,DELL-4094,active,00_MLB
3950,,OOB_DELL-3950,active,00_MLB
3951,,OOB_oncloud-3951,active,00_MLB
3959,,reserve_oncloud-3959,active,00_MLB
3900,,ONCLOUD RESERVED-3900,active,00_MLB
3153,,LAG POG-3153,active,TDF
3600,,VPC_PEER_LINK-3600,active,00_MLB
231,,OFFICE-ISSY-ENENSYS-231,active,TDF
2955,INTERCO PIXA,INTERCO PIXA-2955,active,00_MLB
3500,,OFFICE-ISSY-MLB-OOB-3500,active,00_MLB
3183,,RXTX_CANAL_FARMAN-3183,active,00_MLB
3942,,L2VNI_FORTINET_ASR1000_pour_Internet-3942,active,00_MLB
3940,,L3VNI_SERVICE_MLB-3940,active,00_MLB
3941,,L3VNI_MULTICAST-3941,active,00_MLB
3952,,Cloud_Prive_OnCloud_MGMT-3952,active,00_MLB
3953,,Cloud_Prive_OnCloud_vMotion-3953,active,00_MLB
3954,,Cloud_Prive_OnCloud_vSAN-3954,active,00_MLB
3955,,Cloud_Prive_OnCloud_vTEP_ESXi-3955,active,00_MLB
3956,,Cloud_Prive_OnCloud_vTEP_NSX-3956,active,00_MLB
3957,,Cloud_Prive_OnCloud_Overlay_NSX_Edge-3957,active,00_MLB
2907,from Canal+ TH2(main)/IP5(backup) to Brane,SNL ASPERA FTP ( Brane Canal+)-2907,active,Canal+ SNL
3188,Brane sw-1683,PSDA-FTV-XCO-BACKUP-PRA-EXT-3188,active,TDF
21,,NAT_INFRA-21,active,00_MLB
3003,,QA_GLB_LAB-3003,active,00_MLB
52,,Vlan_ISSY-PSDA-52,active,TDF-PSDAFTV
58,,PRO_COMMON_TRANSCO-58,active,00_MLB
59,,PRO_COMMON_RECEPT-59,active,00_MLB
60,,PRO_PANDORA_DMZ-60,active,00_MLB
61,,PRO_PANDORA_MAIN-61,active,00_MLB
62,,PRO_OCS_DMZ-62,active,00_MLB
63,,PRO_OCS_MAIN-63,active,00_MLB
127,,PSDA-FTV-DMZ-2-7-VLAN127-127,active,00_MLB
230,Pupitre PSDA ISSY,OFFICE-ISSY-PSDA-230,active,TDF
232,SERVICE,PRO_CANALD3_MAIN-232,active,00_MLB
3602,,MCAST_CANALD3_MPEG_2110-3602,active,00_MLB
231,PEBBLE,PRO_CANALD3_COMMAND-231,active,00_MLB
234,,PRO_CANALD3_DMZ-234,active,00_MLB
233,,PRO_CANALD3_PTP-233,active,00_MLB
64,,PRO_COMMON_MAIN-64,active,00_MLB
3101,,INTERCO STORMSHIELD MLB-3101,active,00_MLB
3603,,INTERCO VDCM-3603,active,00_MLB
3102,,INTERCO STORMSHIELD C+-3102,active,00_MLB
3103,,INTERCO STORMSHIELD TDF-3103,active,00_MLB
3854,,QUMULO INTERNAL-3854,active,00_MLB
232,,OFFICE-ISSY-REGIE-CANALD3-232,active,TDF
3604,,MCAST_CANALD3_MPEG_2110_2-3604,active,00_MLB
65,,PRO_SMJ_RXTX_INT_PROMISCUOUS-65,active,00_MLB
66,,PRO_SMJ_RXTX_INT_ISOLATED-66,active,00_MLB
222,,OFFICE-ISSY-REGIE-CANALDR-222,active,TDF
3605,,MCAST_CANALD3_MPEG_2-3605,active,00_MLB
812,ASTRA TH2 ,ASTRA TH2-812,active,ZZ_contrib TDF
3606,,MCAST_NODE-3606,active,00_MLB
1603,,Mercator-1603,active,TDF
67,,PRO_COMMON_BPM-67,active,00_MLB
3607,,MCAST_POG-3607,active,00_MLB
3608,,MCAST_QA-3608,active,00_MLB
