vlan.vid,prefix,vlan_group,status,description,is_pool
,10.32.100.0/24,,active,srl.fr.c4m @itx2 ( vlan 325 ),True
,10.32.254.0/24,,active,EU pop / interco routers & sw,True
,10.32.254.0/29,,active,XCO_VRF_SJTP_RMV ( vlan9 - SW-519 ),True
,10.32.254.8/29,,active,XCO_VRF_SJTP_ITX2 ( vlan9 - SW-387 ),True
,10.32.254.16/29,,active,ITX2 : dmzpro / vrf sjtp fw interco - vlan340,True
,10.32.254.24/29,,active,ITX2 : secure / vrf sjtp fw interco - vlan341,True
,10.32.254.32/29,,active,ITX2 : vrf rxtx / vrf sjtp fw interco - vlan???,True
,10.32.254.40/29,,active,RMV : pptools.fr - vlan 2834,True
,10.32.254.48/29,,active,ITX2: srl / vrf sjtp fw interco,True
,10.32.254.56/29,,active,INTERCO_RMV_ITX2,True
,10.37.100.0/24,,active,BPM tools zone,True
,10.37.102.0/24,,active,BPM Harmony mcs instances,True
,10.37.102.0/26,,active,mcs-ops intsance,True
,10.37.102.64/26,,active,mcs instance,True
,10.37.103.0/24,,active,BPM Harmony tf1 instances,True
,10.37.103.0/26,,active,tf1-ops instance,True
,10.37.103.64/26,,active,tf1 instance,True
,10.37.103.128/26,,active,tf1-preprod instance,True
,10.37.104.0/24,,active,BPM Harmony OCS instances,True
,10.37.104.0/26,,active,ocs instance,True
,10.37.105.0/24,,active,BPM Harmony ftv instances,True
,10.37.105.64/26,,active,ftv instance,True
,10.38.0.0/24,,active,GULLI PRA,True
,10.38.0.0/27,,active,VLAN 811 GPRA DATAS,True
,10.38.0.32/27,,active,VLAN 812 GPRA ADMIN,True
,10.38.0.64/28,,active,VLAN 813 GPRA STREAM,True
,10.38.0.80/30,,active,VLAN 2827 C4M Transfert Server,True
,10.38.1.0/24,,active,C4M PRA A RMV,True
,10.38.1.0/29,,active,C4M PRA FTV A RMV,True
,10.38.1.8/29,,active,C4M PRA FMM A RMV,True
,10.99.0.0/16,,active,C4M RxTx new subnet,True
,10.99.0.0/22,,active,CW rxtx EU,True
,10.99.4.0/22,,active,CW rxtx US,True
,10.102.0.0/16,,active,C4M RxTx Vpnconnect,True
