vid,description,group,status,name
179,,TDF,active,cpe-itx2-1_mcast-1
180,,TDF,active,cpe-th2-old_mcast-1
181,,TDF,active,MCAST_CONTRIB-TH2-1_CJI-MCAST-1
182,,TDF,active,MCAST_CONTRIB-TH2-2_CJI-MCAST-1
183,,TDF,active,MCAST-CJI-1_IVR-1
184,,TDF,active,MCAST-CJI-2_IVR-2
185,,TDF,active,BUREAUTIQUE_SJ
186,,TDF,active,RXTX_of_RMV
187,,TDF,active,supervision_mcl
188,,TDF,active,supervision_controle
189,,TDF,active,new-admin-mcl
190,,TDF,active,admin_bytelhd_cji
191,,TDF,active,admin-mosa-bt
192,,TDF,active,admin_retour
193,,TDF,active,admin-veda2
194,,TDF,active,admin_switch
195,,TDF,active,GRILL_MCL3
196,,TDF,active,admin_LCTVI
197,,TDF,active,admin_PF_test_transco_rennes
198,,TDF,active,C.Regie_MCL3
199,,TDF,active,admin_ocs
200,,TDF,active,admin-bt-v2
201,,TDF,active,admin-encodage-mut
202,,TDF,active,admin-c+webtv
203,,TDF,active,admin_c+_cap
204,,TDF,active,admin_cfi
205,,TDF,active,admin_quadrille
206,,TDF,active,admin-rfo
207,,TDF,active,INTERCO_LAGAR_DEMAT
208,,TDF,active,livraison_mcast_lagardere
209,,TDF,active,Webradio_lag_tempo
210,,TDF,active,Africabox
211,,TDF,active,demaintv
212,,TDF,active,prod-canal-antenne
213,,TDF,active,prod-francetv
214,,TDF,active,prod-adstream
215,,TDF,active,FLUX-IRD-PEIRRERE
216,,TDF,active,vivolta
217,,TDF,active,MCL
218,,TDF,active,ordres-vivolta
219,,TDF,active,vivolta_3041_BUIDNET_109
220,,TDF,active,mcast_retour
221,,TDF,active,prod-tv-radio
222,,TDF,active,sgt
223,,TDF,active,intellinq
224,,TDF,active,insight
225,,TDF,active,harris
226,,TDF,active,NEW-SGT
227,,TDF,active,CNALA+_SNL
228,,TDF,active,prod-evenementiel
229,,TDF,active,LCTVI
230,,TDF,active,PF_test_transco_rennes
231,,TDF,active,PROD_ENTRY_LEVEL
232,,TDF,active,ADMIN-MAINTENANCE
233,,TDF,active,Mcast_PRA_OCS
234,,TDF,active,SNL_FW_OUT_PROV
235,,TDF,active,GLOBECAST - TX
236,,TDF,active,ARQIVA - TX
237,,TDF,active,TELECLUB TX
238,,TDF,active,TELECLUB TX
239,,TDF,active,Amazon via MX1 - TX Main
240,,TDF,active,Amazon via MX1 - TX Backup
241,,TDF,active,MOLOTOV - TX 700Mbps
243,,TDF,active,LGD COGNACQ
244,Multicast Viacom Brane,TDF,active,Multicast Viacom
245,,TDF,active,RMV-ADMIN-PDU
246,,TDF,active,PRA_FTV_BDCAST
247,Interco SIP Riedel CJI - C+ Lumière,TDF,active,Riedel Issy - C+ Lumière
248,,TDF,active,MAM 3058
249,,TDF,active,MAM 1758
250,,TDF,active,QA
251,,TDF,active,56
252,,TDF,active,zixi_priv
253,,TDF,active,DCM Main
254,,TDF,active,PRA_FMM_ARKENA
255,VLAN SRT Aviwest ,TDF,active,VLAN SRT
256,,TDF,active,NDI TX MOSA LCP / CNEWS
257,Alterpop,ZZ_contrib TDF,active,Alterpop
258,MX1 Fashion One - RX,ZZ_contrib TDF,active,MX1_Fashion_One_-_RX
259,Netgem Reunicable - TX,ZZ_contrib TDF,active,Netgem_Reunicable_-_TX
260,Mediactive - TX,ZZ_contrib TDF,active,Mediactive_-_TX
261,TMS - Alsace 20 MAIN - RX,ZZ_contrib TDF,active,TMS_-_Alsace_20_MAIN_-_RX
262,TMS - TV 7 Bordeaux - RX,ZZ_contrib TDF,active,TMS_-_TV_7_Bordeaux_-_RX
263,TMS - Canal 32 - RX,ZZ_contrib TDF,active,TMS_-_Canal_32_-_RX
264,TMS - Vosges Television - RX,ZZ_contrib TDF,active,TMS_-_Vosges_Television_-_RX
265,TS Pro Main - RX,ZZ_contrib TDF,active,TS_Pro_Main_-_RX
266,TMS - Mirabelle TV - RX,ZZ_contrib TDF,active,TMS_-_Mirabelle_TV_-_RX
267,TS Pro BU - RX,ZZ_contrib TDF,active,TS_Pro_BU_-_RX
268,TMS - Alsace 20 BACKUP - RX,ZZ_contrib TDF,active,TMS_-_Alsace_20_BACKUP_-_RX
269,TMS - AZUR Provence - RX,ZZ_contrib TDF,active,TMS_-_AZUR_Provence_-_RX
270,TMS - AZUR Var - RX,ZZ_contrib TDF,active,TMS_-_AZUR_Var_-_RX
271,TMS - AZUR TV - RX,ZZ_contrib TDF,active,TMS_-_AZUR_TV_-_RX
272,TMS - TL7 HD - RX,ZZ_contrib TDF,active,TMS_-_TL7_HD_-_RX
273,TMS - TVPI,ZZ_contrib TDF,active,TMS_-_TVPI
274,TMS - R4,ZZ_contrib TDF,active,TMS_-_R4
275,TMS - R7,ZZ_contrib TDF,active,TMS_-_R7
276,Roland Garros,ZZ_contrib TDF,active,Roland_Garros
277,ARQIVA - TX,ZZ_contrib TDF,active,ARQIVA_-_TX
278,ARQIVA - TX,ZZ_contrib TDF,active,ARQIVA_-_TX
279,TMS - Services FranceTV,ZZ_contrib TDF,active,TMS_-_Services_FranceTV
280,Globecast Nimbra - TX,ZZ_contrib TDF,active,Globecast_Nimbra_-_TX
281,Mediactive - RX,ZZ_contrib TDF,active,Mediactive_-_RX
282,DVMR - Alterpop - RX,ZZ_contrib TDF,active,DVMR_-_Alterpop_-_RX
283,Basmedia via Ziggo - RX,ZZ_contrib TDF,active,Basmedia_via_Ziggo_-_RX
284,Unicast Ere TV - RX,ZZ_contrib TDF,active,Unicast_Ere_TV_-_RX
285,VPLS 1497 - Arqiva,ZZ_contrib TDF,active,VPLS_1497_-_Arqiva
286,ARQIVA - TX,ZZ_contrib TDF,active,ARQIVA_-_TX
287,Alchimie - TX,ZZ_contrib TDF,active,Alchimie_-_TX
288,Bouygues,ZZ_contrib TDF,active,Bouygues
289,Viacom Live - RX,ZZ_contrib TDF,active,Viacom_Live_-_RX
290,Molotov - TX,ZZ_contrib TDF,active,Molotov_-_TX
291,Eurochannel - RX,ZZ_contrib TDF,active,Eurochannel_-_RX
292,Netgem Alsatis - TX,ZZ_contrib TDF,active,Netgem_Alsatis_-_TX
293,ODMS_Penthouse_Black,ZZ_contrib TDF,active,ODMS_Penthouse_Black
294,Ethnic Channel - TX,ZZ_contrib TDF,active,Ethnic_Channel_-_TX
295,Netgem Nordnet - TX,ZZ_contrib TDF,active,Netgem_Nordnet_-_TX
296,Blueline - TX,ZZ_contrib TDF,active,Blueline_-_TX
297,Pixagility - RX,ZZ_contrib TDF,active,Pixagility_-_RX
298,Advalem - RXTX,ZZ_contrib TDF,active,Advalem_-_RXTX
299,Afrimedia - RX,ZZ_contrib TDF,active,Afrimedia_-_RX
300,RedBee FR -RX,ZZ_contrib TDF,active,RedBee_FR_-RX
301,Globecast - RXTX,ZZ_contrib TDF,active,Globecast_-_RXTX
302,ZEOP - TX,ZZ_contrib TDF,active,ZEOP_-_TX
303,AB - RX,ZZ_contrib TDF,active,AB_-_RX
304,LiveCom - RX,ZZ_contrib TDF,active,LiveCom_-_RX
305,HexaGlobe - TX,ZZ_contrib TDF,active,HexaGlobe_-_TX
306,Canal IPTV - TX,ZZ_contrib TDF,active,Canal_IPTV_-_TX
307,PAD - RX,ZZ_contrib TDF,active,PAD_-_RX
